行,大学名,よみ,区分
な行,日本大学,にほんだいがく,私立
な行,日本女子大学,にほんじょしだいがく,私立
な行,日本体育大学,にっぽんたいいくだいがく,私立
な行,二松学舎大学,にしょうがくしゃだいがく,私立
は行,白鴎大学,はくおうだいがく,私立
は行,阪南大学,はんなんだいがく,私立
は行,浜松医科大学,はままついかだいがく,国立
は行,一橋大学,ひとつばしだいがく,国立
は行,兵庫県立大学,ひょうごけんりつだいがく,公立
は行,広島大学,ひろしまだいがく,国立
は行,広島市立大学,ひろしましりつだいがく,公立
は行,弘前大学,ひろさきだいがく,国立
は行,姫路獨協大学,ひめじどっきょうだいがく,私立
は行,福井大学,ふくいだいがく,国立
は行,福岡大学,ふくおかだいがく,私立
は行,福島大学,ふくしまだいがく,国立
は行,福岡工業大学,ふくおかこうぎょうだいがく,私立
は行,福岡教育大学,ふくおかきょういくだいがく,国立
は行,藤田医科大学,ふじたいかだいがく,私立
は行,文教大学,ぶんきょうだいがく,私立
は行,文化学園大学,ぶんかがくえんだいがく,私立
は行,北海道大学,ほっかいどうだいがく,国立
は行,北海学園大学,ほっかいがくえんだいがく,私立
は行,法政大学,ほうせいだいがく,私立
は行,星薬科大学,ほしやっかだいがく,私立
は行,北陸大学,ほくりくだいがく,私立
ま行,松山大学,まつやまだいがく,私立
ま行,三重大学,みえだいがく,国立
ま行,宮城大学,みやぎだいがく,公立
ま行,宮崎大学,みやざきだいがく,国立
ま行,明星大学,めいせいだいがく,私立
ま行,武蔵大学,むさしだいがく,私立
ま行,武蔵野大学,むさしのだいがく,私立
ま行,武庫川女子大学,むこがわじょしだいがく,私立
ま行,室蘭工業大学,むろらんこうぎょうだいがく,国立
ま行,明治大学,めいじだいがく,私立
ま行,明治学院大学,めいじがくいんだいがく,私立
ま行,明治薬科大学,めいじやっかだいがく,私立
ま行,名城大学,めいじょうだいがく,私立
ま行,明海大学,めいかいだいがく,私立
ま行,目白大学,めじろだいがく,私立
ま行,桃山学院大学,ももやまがくいんだいがく,私立
や行,山形大学,やまがただいがく,国立
や行,山口大学,やまぐちだいがく,国立
や行,山梨大学,やまなしだいがく,国立
や行,山梨県立大学,やまなしけんりつだいがく,公立
や行,横浜国立大学,よこはまこくりつだいがく,国立
や行,横浜市立大学,よこはましりつだいがく,公立
ら行,立教大学,りっきょうだいがく,私立
ら行,立命館大学,りつめいかんだいがく,私立
ら行,立正大学,りっしょうだいがく,私立
ら行,流通経済大学,りゅうつうけいざいだいがく,私立
ら行,龍谷大学,りゅうこくだいがく,私立
ら行,琉球大学,りゅうきゅうだいがく,国立
ら行,麗澤大学,れいたくだいがく,私立
わ行,和歌山大学,わかやまだいがく,国立
わ行,和光大学,わこうだいがく,私立
わ行,早稲田大学,わせだだいがく,私立
わ行,和洋女子大学,わようじょしだいがく,私立
