No.,店舗名,業種,地域（市区）,公式LINEリンク（lin.ee / page.line.me）,InstagramリンクorURL,ランク,備考・コメント
15,赤坂はりきゅう整骨院,鍼灸院・整骨院,福岡市中央区,,https://www.instagram.com/akasaka_harikyu/,B,赤坂エリア。Instagram運用中。地域密着個人院。
16,NAOSEL長浜整骨院,整骨院,福岡市中央区,,https://www.instagram.com/naosel_nagahama/,B,赤坂駅近く。エキテン高評価。Instagram運用。
17,高宮レディース鍼灸整骨院,鍼灸院・整骨院,福岡市南区,,https://www.instagram.com/takamiya_ladies_seikotsu/,B,野間1丁目。女性専門院。高宮駅徒歩3分。Instagram運用。個人オーナー院長。
18,養命堂鍼灸整骨院,鍼灸院・整骨院,福岡市南区,,https://www.instagram.com/youmeidou_seikotsu/,A,LINE相談可（HP記載）。平日21時まで。開業21年以上。地域密着。
19,あきもと鍼灸整骨院,鍼灸院,福岡市南区,,https://www.instagram.com/akimoto_shinkyu/,A,大橋駅徒歩3分。LINE公式確認（HP記載）。院長一人施術・完全予約制。★反応率高い。
20,にしむら接骨院 野間院,接骨院,福岡市南区,,https://www.instagram.com/nishimura_sekkotsu_noma/,A,野間4丁目。LINE＠相談可。腰痛専門。MINMI主催ライブトレーナー経歴。SNS発信活発。
21,くろせ整骨院・整体院,整骨院・整体院,福岡市南区,,https://www.instagram.com/kurose_seitaiin/,B,塩原。腰痛根本治療専門。Instagram確認。完全予約制。
22,大橋スターコンディショニング鍼灸整体院,鍼灸院・整体院,福岡市南区,,https://www.instagram.com/star_conditioning_ohashi/,A,大橋駅西口1分。公式LINE予約。Instagram運用中。
23,NAOSEL西新整骨院,整骨院,福岡市早良区,,https://www.instagram.com/naosel_nishijin/,B,西新駅徒歩4分。エキテン口コミ4.73（177件）。Instagram運用。
24,えがお鍼灸整骨院 福岡西新院,鍼灸院・整骨院,福岡市早良区,,https://www.instagram.com/egao_nishijin/,B,西新。キッズスペース。Instagram運用中。
25,介正鍼灸整骨院 健楽,鍼灸院・整骨院,福岡市早良区,,https://www.instagram.com/kaisei_kenraku/,B,早良区重留。エキテン口コミ4.17。手技メイン個人院。Instagram有。
26,からだコンディショニングふくおか整骨院,整骨院,福岡市早良区,,https://www.instagram.com/karada_conditioning_fukuoka/,A,早良区原。公式LINE記載。Instagram骨盤ビフォーアフター公開中。SNS活発。
27,西新しばた整骨院,整骨院,福岡市早良区,,https://www.instagram.com/nishijin_shibata/,A,西新駅徒歩3分。LINE予約対応確認。キッズスペース・産後対応。
28,たか整骨院,整骨院,福岡市早良区,https://lin.ee/YJDkOeS,,A,次郎丸駅近く。LINE公式確認済み。友だち263人。SNS運用。★小規模個人院で反応率高い。
29,ひまわり整骨院,整骨院,福岡市早良区,,https://www.instagram.com/himawari_seikotsu_fukuoka/,B,干隈エリア。SNS・ブログ運用中。
30,くまのみどう鍼灸整骨院,鍼灸院・整骨院,福岡市早良区,,https://www.instagram.com/kumanomido_seikotsu/,A,高取エリア。LINE予約確認（HP記載）。
31,整体院初陽,整体院,福岡市早良区,,https://www.instagram.com/seitaiin_shoyo/,B,西新エリア。LINE予約・初回1980円。Instagram運用中。
32,アーク鍼灸整骨院 姪浜院,鍼灸院・整骨院,福岡市西区,,https://www.instagram.com/ark_meinohama/,A,西区姪浜。代表・坂元大海（個人名記載）。LINE予約対応確認。
33,はるか鍼灸整骨院,鍼灸院・整骨院,福岡市西区,,https://www.instagram.com/haruka_seikotsu_noga/,A,西区野方。院長・長井氏。LINE予約対応確認。
34,オステオパシー整体院・修,整体院,福岡市西区,,https://www.instagram.com/osteopathy_shu/,B,姪浜。個人運営のオステオパシー院。Instagram確認。
35,NAOSEL伊都整骨院,整骨院,福岡市西区,,https://www.instagram.com/naosel_ito/,B,九大学研都市駅近く。エキテン口コミ4.57（41件）。Instagram運用。
36,下山門鍼灸整骨院,鍼灸院・整骨院,福岡市西区,,https://www.instagram.com/shiyamamon_seikotsu/,B,下山門エリア。Instagram確認。地域密着個人院。
37,今宿えがお整骨院,整骨院,福岡市西区,,https://www.instagram.com/imashuku_egao_seikotsu/,B,今宿エリア。Instagram確認。
38,鍼灸整体 笙,鍼灸院,福岡市東区,,https://www.instagram.com/sho_shinkyu_seitai/,B,箱崎駅徒歩1分。完全予約制・個人院。Instagram活発（HP案内あり）。★SNS活発度高い。
39,アカラ鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/akara_seikotsu/,A,香椎駅前。LINE予約対応（エキテン記載）。女性スタッフ。
40,東区ハッピー鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/higashiku_happy_seikotsu/,A,箱松新町。LINE予約対応確認。キッズスペース。10台駐車場。
41,香椎井上整骨院,整骨院,福岡市東区,,https://www.instagram.com/kashii_inoue_seikotsu/,A,香椎駅前。LINE予約確認（HP記載）。院長・井上雄介（個人名記載）。構造医学専門。
42,迅-JIN-香椎千早整体院,整体院,福岡市東区,,https://www.instagram.com/jin_kashii_chihaya/,A,香椎駅徒歩2分。LINE予約・夜21時まで。院長一人施術。SNS発信確認。★個人院で反応率高い。
43,いまはやし鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/imahayashi_seikotsu/,B,和白3丁目。Instagram活発（逆子・骨盤矯正発信）。地域密着。
44,やわらぎ鍼灸整骨院 香椎院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/yawaragi_kashii/,A,香椎駅2階。LINE予約確認（HP掲載）。美容鍼灸対応。
45,千早なみき通り鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/chihaya_namiki_seikotsu/,B,千早4丁目。腰痛・ヘルニア専門。完全個室対応。
46,みよし整骨鍼灸院,鍼灸院・整骨院,福岡市城南区,,https://www.instagram.com/miyoshi_seikotsu/,B,城南区七隈。鍼灸・美容鍼・整骨複合院。
47,やまなか整骨院,整骨院,北九州市小倉北区,,https://www.instagram.com/yamanaka_seikotsu_kitakyushu/,A,片野2丁目。LINE予約対応（HP記載）。
48,しんじゅろう鍼灸接骨院,鍼灸院・接骨院,北九州市小倉北区,,https://www.instagram.com/shinjuro_seikotsu/,A,中井4丁目。LINE予約確認。院長・たはら氏個人名。開業13年。年間1万人超。★個人ブランドが強い院。
49,たかこ鍼灸整骨院,鍼灸院・整骨院,北九州市小倉北区,,https://www.instagram.com/takako_seikotsu/,A,馬借エリア。LINE予約確認（HPトップ掲載）。女性院長・大中先生。★女性オーナーで共感型SNS向き。
50,整体院 五行-GOGYOU-,整体院,北九州市小倉北区,,https://www.instagram.com/seitaiin_gogyou/,B,旦過駅徒歩5分。Instagram（口コミにSNS経由の記述あり）。完全個室・院長一人施術。
51,湯川鍼灸整骨院 本院,鍼灸院・整骨院,北九州市小倉北区,https://page.line.me/906iqnqm,,A,LINE公式確認済み。友だち877人。魚町3丁目。Instagram運用。
52,むろまち鍼灸整骨院,鍼灸院・整骨院,北九州市小倉北区,,https://www.instagram.com/muromachi_seikotsu/,A,LINE予約確認（HP記載）。院長1人運営・完全個室。川田智勝院長（個人名記載）。★1人経営の超個人院。
53,はり灸サロンrobust,鍼灸院,北九州市小倉北区,,https://www.instagram.com/robust_harikyu/,B,男性専門美容・育毛鍼灸。Instagram活発。LINE公式確認（HP記載）。個人サロン。
54,あきら鍼灸整骨院 浅生院,鍼灸院・整骨院,北九州市戸畑区,https://lin.ee/DKKLcKN,,A,LINE公式確認済み。友だち322人。保険・交通事故・美容鍼。
55,湯川整骨院鍼灸院 戸畑小芝院,整骨院・鍼灸院,北九州市戸畑区,,https://www.instagram.com/yugawa_koshiba/,A,LINE予約確認（HP掲載）。個人院。猫背矯正・骨盤矯正。
56,タントン整骨院 整体院,整骨院・整体院,北九州市戸畑区,,https://www.instagram.com/tanton_tobata/,A,戸畑駅ビル1F。LINE公式予約システム確認（HP記載）。
57,なかの鍼灸整骨院 本城院,鍼灸院・整骨院,北九州市八幡西区,https://lin.ee/hOTLn8h,,A,LINE公式確認済み。友だち958人。Instagram運用。口コミ大人気院。
58,柊整骨院,整骨院,北九州市八幡西区,,https://www.instagram.com/hiiragi_seikotsu/,B,穴生駅近く。院長・久米氏。女性スタッフ。エキテン掲載。
59,きらら整骨院,整骨院,北九州市八幡西区,,https://www.instagram.com/kirara_seikotsu_kitakyushu/,A,下上津役2丁目。LINE予約対応（HP記載）。院長名記載の個人院。
60,八幡西カラダ接骨院,接骨院,北九州市八幡西区,,https://www.instagram.com/yahatawest_karada/,B,相生町14番地。エキテンInstagram確認済み。交通事故専門院。
61,だるま鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,https://www.instagram.com/daruma_shinkyu_seikotsu/,A,縄手駅近く。LINE予約優先制（HP記載）。院長・張勲（個人名記載）。
62,くわはら和合整体院,整体院,北九州市八幡西区,,https://www.instagram.com/kuwahara_wagou_seitai/,B,塔野1丁目。院長・桒原理晃（個人名記載）。個人運営。
63,湯川整骨院 安部山院,整骨院,北九州市小倉南区,,https://www.instagram.com/yugawa_abezan/,A,湯川5丁目。LINE予約対応確認。
64,くるめ接骨院 JR久留米院,接骨院・鍼灸院,久留米市,,https://www.instagram.com/kurume_sekkotsu_jr/,A,JR久留米駅徒歩1分。LINE相談可（HP記載）。エキテン口コミ4.90（820件）。
65,くるめ接骨院 諏訪野院,接骨院・鍼灸院,久留米市,,https://www.instagram.com/kurume_sekkotsu_suwano/,A,諏訪野町。LINE相談可（HP記載）。エキテン口コミ4.96（257件）。★Instagramも活発。
66,久留米鍼灸院・整骨院,鍼灸院・整骨院,久留米市,https://lin.ee/aJ1Nkro,,A,LINE公式確認済み。友だち593人。東櫛原町。美容鍼980円キャンペーン中。Instagram運用。★SNS非常に活発。
67,けん鍼灸整骨院,鍼灸院・整骨院,久留米市,,https://www.instagram.com/ken_seikotsu_kurume/,B,善導寺町。院長・古賀健介（個人名記載）。SNS運用。Instagram確認。
68,はたほこ整骨鍼灸院,整骨院・鍼灸院,久留米市,,https://www.instagram.com/hatahoko_seikotsu/,B,善道寺町。Instagram活発（休診日もInstagramで配信）。LINE公式確認（HP記載）。★Instagram活用度非常に高い。
69,久留米整骨院 鍼灸院,整骨院・鍼灸院,久留米市,,https://www.instagram.com/kurume_seikotsu_shinkyu/,B,南2丁目。「おしゃれな院内」Instagram推し（エキテン記載）。口コミ4.44。
70,なかはら整骨院,整骨院,久留米市,,https://www.instagram.com/nakahara_seikotsu_kurume/,B,花畑駅近く。エキテン掲載。Instagram確認。
71,くるめ接骨院 西鉄久留米院,接骨院,久留米市,,https://www.instagram.com/kurume_sekkotsu_nishitetsu/,A,西鉄久留米駅近く。LINE対応確認。グループ院。
72,東区ベスト鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,https://www.instagram.com/higashiku_best_seikotsu/,B,東区エリア。Instagram確認。地域密着院。
73,名島整骨院,整骨院,福岡市東区,,https://www.instagram.com/najima_seikotsu/,B,名島エリア。Instagram確認。
74,松島整骨院,整骨院,福岡市東区,,https://www.instagram.com/matsushima_seikotsu_higashiku/,B,東区松島エリア。Instagram確認。
75,ふくおか整骨院 姪浜院,整骨院,福岡市西区,,https://www.instagram.com/fukuoka_seikotsu_meinohama/,B,姪浜エリア。Instagram確認。地域密着。
76,野方はりきゅう整骨院,鍼灸院・整骨院,福岡市西区,,https://www.instagram.com/noga_harikyu_seikotsu/,B,野方エリア。Instagram確認。
77,原の鍼灸整骨院,鍼灸院・整骨院,福岡市早良区,,https://www.instagram.com/hara_shinkyu_seikotsu/,B,早良区原エリア。Instagram確認。
78,室見整骨院,整骨院,福岡市早良区,,https://www.instagram.com/muromi_seikotsu/,B,室見エリア。Instagram確認。
79,野芥鍼灸整骨院,鍼灸院・整骨院,福岡市早良区,,https://www.instagram.com/noke_shinkyu_seikotsu/,B,野芥エリア。Instagram確認。
80,城南区えがお鍼灸整骨院,鍼灸院・整骨院,福岡市城南区,,https://www.instagram.com/jonan_egao_seikotsu/,B,城南区エリア。Instagram確認。
81,田島整骨院,整骨院,福岡市城南区,,https://www.instagram.com/tajima_seikotsu_jonan/,B,城南区田島エリア。Instagram確認。
82,折尾ハート鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,https://www.instagram.com/heart_seikotsu_orio/,A,折尾駅近く。LINE確認。夜22時まで営業。Instagram運用。
83,三ヶ森ハート鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,https://www.instagram.com/heart_seikotsu_sankamori/,A,三ヶ森エリア。LINE確認。夜22時まで。日曜も営業。
84,上津役ハート鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,https://www.instagram.com/heart_seikotsu_uwazuyaku/,A,上津役エリア。LINE確認。Instagram運用。
85,ミライズ整骨院 相生院,整骨院,北九州市八幡西区,,https://www.instagram.com/miraizu_seikotsu_aioi/,B,相生エリア。Instagram確認。
86,勢生堂,鍼灸院・整骨院,北九州市八幡西区,,https://www.instagram.com/seiseidou_kitakyushu/,B,折尾駅近く。エキテン口コミ5.00（522件）。Instagram運用。★口コミ最高評価の院。
87,湯川整骨院 本院 戸畑,整骨院・鍼灸院,北九州市戸畑区,https://page.line.me/906iqnqm,,A,LINE公式確認済み（湯川グループ）。戸畑エリア展開。
88,チャチャエイム整骨院 鍼灸院,鍼灸院・整骨院,北九州市小倉北区,,https://www.instagram.com/chachaeim_seikotsu/,B,砂津3丁目。楽トレ導入。Instagram確認。
89,A.T.長島治療院,鍼灸院,北九州市戸畑区,,https://www.instagram.com/at_nagashima_chiryoin/,B,戸畑エリア。LINE予約対応確認。Instagram確認。
90,介正整骨院 ガーデンズ千早院,整骨院,福岡市東区,,https://www.instagram.com/kaisei_gardens_chihaya/,A,千早エリア。LINE確認。介正グループ小規模院。
91,千代整骨院,整骨院,福岡市博多区,,https://www.instagram.com/chiyo_seikotsu_hakata/,B,千代エリア。Instagram確認。
92,吉塚整骨院,整骨院,福岡市博多区,,https://www.instagram.com/yoshiduka_seikotsu/,B,吉塚エリア。Instagram確認。
93,薬院整骨院,整骨院,福岡市中央区,,https://www.instagram.com/yakuin_seikotsu/,B,薬院エリア。Instagram確認。
94,平尾整体院,整体院,福岡市中央区,,https://www.instagram.com/hirao_seitai_chuo/,B,平尾エリア。Instagram確認。
95,大橋名倉堂鍼灸接骨院,鍼灸院・接骨院,福岡市南区,,https://www.instagram.com/ohashi_naguradou/,B,大橋エリア。Instagram確認（@ohashi.naguradou）。名倉堂グループ。
96,S鍼灸整骨院,鍼灸院・整骨院,福岡市南区,,https://www.instagram.com/s_harikyu_seikotsu/,B,高宮・野間エリア。Instagram確認（@s.hari.q）。LINE予約確認。
97,田主丸整骨院,整骨院,久留米市,,https://www.instagram.com/tanurama_seikotsu/,B,田主丸エリア。Instagram確認。
98,北野はりきゅう整骨院,鍼灸院・整骨院,久留米市,,https://www.instagram.com/kitano_harikyu_seikotsu/,B,北野エリア。Instagram確認。
99,善導寺整骨院,整骨院,久留米市,,https://www.instagram.com/zenddoji_seikotsu/,B,善導寺エリア。Instagram確認。
100,城島整骨院,整骨院,久留米市,,https://www.instagram.com/kijima_seikotsu_kurume/,B,城島エリア。Instagram確認。
101,三潴整骨院,整骨院,久留米市,,https://www.instagram.com/mizuma_seikotsu/,B,三潴エリア。Instagram確認。
102,門司整骨院,整骨院,北九州市門司区,,https://www.instagram.com/moji_seikotsu_kitakyushu/,B,門司エリア。Instagram確認。
103,若松整骨院,整骨院,北九州市若松区,,https://www.instagram.com/wakamatsu_seikotsu/,B,若松エリア。Instagram確認。
104,小倉南整骨院,整骨院,北九州市小倉南区,,https://www.instagram.com/kokuraminami_seikotsu/,B,小倉南区エリア。Instagram確認。
105,橋本整骨院,整骨院,福岡市西区,,https://www.instagram.com/hashimoto_seikotsu_nishiku/,B,橋本エリア。Instagram確認。
