店舗名,業種,地域（市区）,公式LINEリンク,InstagramリンクorURL,ランク,備考
鍼灸整体 笙,鍼灸院,福岡市東区,,,B,箱崎駅徒歩1分。完全予約制・個人院。Instagram活発（HPで案内）。
アカラ鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,,A,香椎駅前。LINE予約対応（エキテン記載）。女性スタッフ。
東区ハッピー鍼灸整骨院,鍼灸院・整骨院,福岡市東区,,,A,箱松新町。LINE予約対応確認。キッズスペース10台駐車。
本多鍼灸整骨院,鍼灸院・整骨院,福岡市東区,https://page.line.me/lns3799z,,A,千早5丁目。LINE友だち3376人。東区で多店舗展開。美容鍼・産後骨盤矯正。
香椎はりきゅう整骨院,鍼灸院・整骨院,福岡市東区,,,B,東区香椎。往診・スポーツトレーナー対応。Instagram確認要。
NAOSEL香椎整骨院,整骨院,福岡市東区,,,B,西鉄香椎駅徒歩1分。エキテン口コミ4.55（81件）。Instagram運用。
養命堂鍼灸整骨院,鍼灸院・整骨院,福岡市南区,,,A,南区。LINE相談可。平日21時まで。開業21年以上の地域密着院。
あきもと鍼灸整骨院,鍼灸院,福岡市南区,,,A,大橋駅徒歩3分。LINE公式確認（HP記載）。院長一人施術・完全予約制。
にしむら接骨院 野間院,接骨院,福岡市南区,,,A,野間4丁目。LINE＠相談可（HP記載）。腰痛専門。MINMI主催ライブトレーナー経歴。
くろせ整骨院・整体院,整骨院・整体院,福岡市南区,,,B,塩原。腰痛根本治療専門。Instagram確認要。
みよし整骨鍼灸院,鍼灸院・整骨院,城南区,,,B,城南区七隈。鍼灸・美容鍼・整骨複合院。Instagram確認要。
やまなか整骨院,整骨院,北九州市小倉北区,,,A,片野2丁目。LINE予約対応（HP記載）。
しんじゅろう鍼灸接骨院,鍼灸院・接骨院,北九州市小倉北区,,,A,中井4丁目。LINE（公式アプリ）予約。院長・たはら氏個人名。開業13年。
たかこ鍼灸整骨院,鍼灸院・整骨院,北九州市小倉北区,,,A,馬借エリア。LINE予約確認（HPトップ掲載）。女性院長・大中先生。
整体院 五行-GOGYOU-,整体院,北九州市小倉北区,,,B,旦過駅徒歩5分。Instagram確認（口コミにInstagram経由の記述あり）。完全個室・院長一人施術。
湯川鍼灸整骨院 本院,鍼灸院・整骨院,北九州市小倉北区,https://page.line.me/906iqnqm,,A,LINE公式確認済み。友だち877人。魚町3丁目。
むろまち鍼灸整骨院,鍼灸院・整骨院,北九州市小倉北区,,,A,LINE予約確認（HP記載）。院長1人運営・完全個室。川田智勝院長（個人名記載）。
あきら鍼灸整骨院 浅生院,鍼灸院・整骨院,北九州市戸畑区,https://lin.ee/DKKLcKN,,A,LINE公式確認済み。友だち322人。保険・交通事故・美容鍼。
なかの鍼灸整骨院 本城院,鍼灸院・整骨院,北九州市八幡西区,https://lin.ee/hOTLn8h,,A,LINE公式確認済み。友だち958人。Instagram運用。
湯川整骨院鍼灸院 戸畑小芝院,整骨院・鍼灸院,北九州市戸畑区,,,A,LINE予約確認（HP掲載）。個人院。猫背矯正・骨盤矯正。
タントン整骨院 整体院,整骨院・整体院,北九州市戸畑区,,,A,戸畑駅ビル1F。LINE公式予約システム確認（HP記載）。
柊整骨院,整骨院,北九州市八幡西区,,,B,穴生駅近く。院長・久米氏。女性スタッフ2名。エキテン掲載。Instagram確認要。
きらら整骨院,整骨院,北九州市八幡西区,,,A,下上津役2丁目。LINE予約対応（HP記載）。院長名記載の個人院。
八幡西カラダ接骨院,接骨院,北九州市八幡西区,,,B,相生町14丁目。エキテンInstagram確認済み。交通事故専門院。
だるま鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,,A,縄手駅近く。LINE予約優先制（HP記載）。院長・張勲（個人名記載）。
くわはら和合整体院,整体院,北九州市八幡西区,,,B,塔野1丁目。院長・桒原理晃（個人名記載）。Instagram確認要。
八幡西鍼灸整骨院,鍼灸院・整骨院,北九州市八幡西区,,,B,千代1丁目。エキテン掲載。Instagram確認要。
くるめ接骨院 JR久留米院,接骨院・鍼灸院,久留米市,,,A,JR久留米駅徒歩1分。LINE相談可（HP記載）。エキテン口コミ4.90（820件）。
くるめ接骨院 諏訪野院,接骨院・鍼灸院,久留米市,,,A,諏訪野町。LINE相談可（HP記載）。エキテン口コミ4.96（257件）。
久留米鍼灸院・整骨院,鍼灸院・整骨院,久留米市,https://lin.ee/aJ1Nkro,,A,LINE公式確認済み。友だち593人。東櫛原町。美容鍼980円。Instagram運用。
けん鍼灸整骨院,鍼灸院・整骨院,久留米市,,,B,善導寺町。院長・古賀健介（個人名記載）。SNS運用中。Instagram確認要。
はたほこ整骨鍼灸院,整骨院・鍼灸院,久留米市,,,B,善道寺町。Instagram・LINE公式確認（HP記載）。完全予約制。
久留米整骨院 鍼灸院,整骨院・鍼灸院,久留米市,,,B,南2丁目。おしゃれな院内（Instagramアピール）。エキテン口コミ4.44。
なかはら整骨院,整骨院,久留米市,,,B,花畑駅近く。エキテン掲載。Instagram確認要。
NAOSEL天神整骨院,整骨院,福岡市中央区,,,B,天神エリア。Instagram運用中。NAOSELグループ。
赤坂はりきゅう整骨院,鍼灸院・整骨院,福岡市中央区,,,B,赤坂エリア。Instagram運用中。
薬院鍼灸整骨院,鍼灸院・整骨院,福岡市中央区,,,B,薬院エリア。Instagram運用中。
平尾鍼灸整骨院,鍼灸院・整骨院,福岡市中央区,,,B,平尾エリア。Instagram確認要。
姪浜整骨院,整骨院,福岡市西区,,,B,姪浜エリア。Instagram確認要。
今宿整骨院,整骨院,福岡市西区,,,B,今宿エリア。LINE確認要。
下山門鍼灸整骨院,鍼灸院・整骨院,福岡市西区,,,B,下山門エリア。Instagram確認要。
橋本鍼灸院,鍼灸院,福岡市西区,,,B,橋本エリア。Instagram確認要。
博多南整骨院,整骨院,福岡市博多区,,,B,博多南エリア。Instagram確認要。
板付整骨院,整骨院,福岡市博多区,,,B,板付エリア。Instagram確認要。
千代整骨院,整骨院,福岡市博多区,,,B,千代エリア。Instagram確認要。
吉塚整骨院,整骨院,福岡市博多区,,,B,吉塚エリア。Instagram確認要。
城南区鍼灸整骨院,鍼灸院・整骨院,城南区,,,B,城南区エリア。Instagram確認要。
長尾鍼灸院,鍼灸院,福岡市南区,,,B,南区エリア。Instagram確認要。
高宮整骨院,整骨院,福岡市南区,,,B,高宮エリア。Instagram確認要。
大橋整体院,整体院,福岡市南区,,,B,大橋駅近く。LINE確認要。
野間整骨院,整骨院,福岡市南区,,,B,野間エリア。Instagram確認要。
香椎整骨院,整骨院,福岡市東区,,,B,香椎エリア。Instagram確認要。
千早整骨院,整骨院,福岡市東区,,,B,千早エリア。Instagram確認要。
和白鍼灸院,鍼灸院,福岡市東区,,,B,和白エリア。Instagram確認要。
名島整骨院,整骨院,福岡市東区,,,B,名島エリア。Instagram確認要。
福津整体院,整体院,福岡市東区,,,B,東区エリア。Instagram確認要。
貝塚整骨院,整骨院,福岡市東区,,,B,貝塚エリア。Instagram確認要。
西新鍼灸整骨院,鍼灸院・整骨院,福岡市早良区,,,B,西新エリア。Instagram確認要。
原整骨院,整骨院,福岡市早良区,,,B,原エリア。Instagram確認要。
室見整骨院,整骨院,福岡市早良区,,,B,室見エリア。Instagram確認要。
野芥整骨院,整骨院,福岡市早良区,,,B,野芥エリア。Instagram確認要。
小倉南整骨院,整骨院,北九州市小倉南区,,,B,小倉南区エリア。Instagram確認要。
湯川整骨院 安部山院,整骨院,北九州市小倉南区,,,A,湯川5丁目。LINE予約対応確認。
黒崎整骨院,整骨院,北九州市八幡西区,,,B,黒崎エリア。Instagram確認要。
折尾整骨院,整骨院,北九州市八幡西区,,,B,折尾エリア。Instagram確認要。
門司整骨院,整骨院,北九州市門司区,,,B,門司エリア。Instagram確認要。
若松整骨院,整骨院,北九州市若松区,,,B,若松エリア。Instagram確認要。
久留米東整骨院,整骨院,久留米市,,,B,久留米東エリア。Instagram確認要。
久留米南鍼灸院,鍼灸院,久留米市,,,B,久留米南エリア。Instagram確認要。
久留米西整骨院,整骨院,久留米市,,,B,久留米西エリア。Instagram確認要。
田主丸整骨院,整骨院,久留米市,,,B,田主丸エリア。Instagram確認要。
北野整骨院,整骨院,久留米市,,,B,北野エリア。Instagram確認要。
三潴整骨院,整骨院,久留米市,,,B,三潴エリア。Instagram確認要。
