No,店舗名,業種,地域,Instagramアカウント（@）,Instagram URL,フォロワー数（概算）,最終投稿時期,備考
15,整体＆アロママッサージ LIBERA,整体・エステ,東京都世田谷区駒沢,@libera_seitai,https://www.instagram.com/libera_seitai/,500〜2000,確認中,女性オーナーセラピスト。ハイパーナイフ・ピラティス。駒沢大学駅近。
16,ロンフェイ（M.O.D渋谷）,美容室・エクステ,東京都渋谷区宇田川町,@ronfei_shibuya,https://www.instagram.com/ronfei_shibuya/,3000〜10000,2024年以降,渋谷駅徒歩7分。ハイトーンカラー・シールエクステ専門スタイリスト。
17,花岡瑠斗（MINX shibuya）,美容室,東京都渋谷区,@ryuto_1026,https://www.instagram.com/ryuto_1026/,5000〜20000,2024年以降,渋谷MINX店長。ハイトーンカラー・レイヤーカット専門。
18,yuibabynails,ネイルサロン,東京都渋谷区表参道,@yuibabynails,https://www.instagram.com/yuibabynails/,1000〜5000,確認中,外苑前・表参道。英語対応可。個人ネイルアーティスト。
19,Aditi（アーユルヴェーダサロン）,エステ・ヨガ,東京都世田谷区代田（下北沢）,@aditi_ayurveda,https://www.instagram.com/aditi_ayurveda/,500〜1000,確認中,アーユルヴェーダ・ヨガ・管理栄養士。個人オーナー相馬香子。下北沢駅徒歩7分。
20,fifth PARK（フィフス パーク）,美容室,東京都渋谷区神宮前（原宿）,@fifth_park,https://www.instagram.com/fifth_park/,3000〜10000,確認中,原宿アール3F。メンズサロン。スパイラルパーマ・ツイストパーマ専門。
21,massage357shucchou（出張マッサージ師長嶋）,整体・マッサージ,東京都渋谷区・港区・千代田区（出張）,@massage357shucchou,https://www.instagram.com/massage357shucchou/,500〜2000,確認中,国家資格保有。出張マッサージ。渋谷・港区・千代田区対応。
22,Private Nailsalon Lien（リアン）,ネイルサロン,東京都清瀬市,@private_nailsalon_lien,https://www.instagram.com/private_nailsalon_lien/,500〜2000,2024年以降,自宅プライベートサロン。個人ネイリスト。清瀬駅近。イベント出店あり。
23,整体サロン 志整（shisei）,整体,東京都世田谷区駒沢,@shisei_seitai,https://www.instagram.com/shisei_seitai/,500〜1000,確認中,正統カイロプラクティック。個人オーナー高島克哉院長。完全プライベート施術。
24,整体院 香木堂,整体,東京都世田谷区三軒茶屋,@koubokudo_seitai,https://www.instagram.com/koubokudo_seitai/,500〜1000,確認中,女性整体師による女性専用。三軒茶屋。完全プライベート。歴15年以上。
25,整体なお（用賀整体院）,整体,東京都世田谷区用賀,@seitai_nao,https://www.instagram.com/seitai_nao/,500〜1000,確認中,用賀駅徒歩1分。院長直井昌之。鍼灸師・オステオパシー専門。個人院。
26,〜リンパケア専門店〜月桃,整体・リンパケア,福岡県福岡市中央区谷,@gettou_fukuoka,https://www.instagram.com/gettou_fukuoka/,500〜2000,2025年以降,リンパマッサージ＆ヘッドスパ専門。女性専用・完全個室。桜坂駅徒歩8分。個人オーナー。
27,VITA SALON JuJu,エステ,福岡県福岡市中央区渡辺通（天神南）,@vitasalon.juju,https://www.instagram.com/vitasalon.juju/,1000〜5000,確認中,天神南駅徒歩1分。痩身・フェイシャルエステ。最新マシン導入。
28,眉まつ毛サロン マリア,エステ・まつ毛,福岡県福岡市早良区,@eyelash.emu_maria,https://www.instagram.com/eyelash.emu_maria/,500〜2000,2024年以降,眉スタイリング・まつ毛パーマ専門。個人オーナー。早良区。
29,Private Nailsalon Ruv（ルヴ）,ネイルサロン,福岡県福岡市博多区竹下,@ruv_privatenailsalon,https://www.instagram.com/ruv_privatenailsalon/,500〜2000,確認中,竹下駅徒歩1分。ネイリスト歴10年以上・1級ネイリスト。プライベートサロン。
30,福岡美容室モナ（view_mona）,美容室,福岡県福岡市中央区天神,@view_mona,https://www.instagram.com/view_mona/,1000〜5000,2024年以降,天神エリア。ハイトーン・インナーカラー・ミルクティーカラー専門。
31,ヘアーサロントモナガ,美容室（理容）,福岡県糟屋郡須恵町（博多区近郊）,@hair.salon_tomonaga,https://www.instagram.com/hair.salon_tomonaga/,500〜2000,2025年以降,博多駅近郊。メンズカット・縮毛矯正。個人サロン。
32,訪問美容fUfU（ふふ）,ネイル・ハンドケア（訪問型）,福岡県福岡市博多区那珂,@fufu_homonbiyo24,https://www.instagram.com/fufu_homonbiyo24/,100〜500,確認中,訪問型ネイル・エステ。個人事業主。美容専門学校卒。
33,整体院 福佳（ふっか）,整体,福岡県福岡市中央区赤坂,@fukuoka_fukka,https://www.instagram.com/fukuoka_fukka/,1000〜5000,確認中,赤坂駅すぐ。理学療法士資格。YouTube5.5万人。個人オーナー。慢性腰痛特化。
34,きわみ鍼灸整骨院 博多院,整骨院,福岡県福岡市博多区,@kiwami_hakata,https://www.instagram.com/kiwami_hakata/,1000〜3000,確認中,博多駅徒歩5分。鍼灸・整体・整骨院。口コミ62件。
35,M-Nail 本店,ネイルサロン,大阪府大阪市中央区東心斎橋,@mnailnet,https://www.instagram.com/mnailnet/,3000〜10000,2025年以降,心斎橋駅徒歩3分。長さだし・スカルプ・痛ネイル・3D。
36,ManiCloset（マニクローゼット）,ネイルサロン,大阪府大阪市中央区心斎橋,@manicloset_the_beauty,https://www.instagram.com/manicloset_the_beauty/,1000〜5000,2024年以降,心斎橋。エアブラシ・韓国ネイル・ワンホンネイル専門。
37,HINA（ネイルアーティスト）,ネイルサロン,大阪府大阪市（プライベートスタジオ）,@unopulir_manicurist_hina,https://www.instagram.com/unopulir_manicurist_hina/,500〜2000,2024年以降,大阪市内のプライベートスタジオ。英語対応可能な個人ネイリスト。
38,IKEZAKI鍼灸院,エステ・美容鍼,大阪府大阪市北区本庄東（天六）,@ikezaki_shinkyu,https://www.instagram.com/ikezaki_shinkyu/,10000〜50000,確認中,天神橋筋六丁目駅徒歩1分。美容鍼・リフトアップ専門。個人経営。フォロワー3万超。
39,内川優風（大阪梅田美容室）,美容室,大阪府大阪市北区梅田,@24yulk,https://www.instagram.com/24yulk/,3000〜10000,2024年以降,梅田エリア。ミルクベージュ・レイヤーカット専門個人スタイリスト。
40,徳永壮馬【GOALD】,美容室,大阪府大阪市北区梅田,@goald_tokunaga,https://www.instagram.com/goald_tokunaga/,5000〜20000,2025年以降,梅田。フェザーショート・ラウンドマッシュ・マッシュウルフ専門。
41,gaku（シャドウパーマ専門）,美容室,大阪府大阪市,@mgch_gram,https://www.instagram.com/mgch_gram/,1000〜5000,2024年以降,ケアパーマ・シャドウパーマ専門。大阪市内個人スタイリスト。
42,MILSHE（ミルシェ）スタイリスト瀧,美容室,大阪府豊中市岡町（阪急宝塚線）,@milshe_taki,https://www.instagram.com/milshe_taki/,500〜2000,2024年以降,岡町駅徒歩1分。大人女性向け・ショートヘア・白髪活かしカラー専門。
43,松村一生/髪工房ken's,美容室（理容）,大阪府大阪市東淀川区（上新庄）,@kamikouboukens,https://www.instagram.com/kamikouboukens/,500〜2000,2025年以降,上新庄。パーマ・理容室。DM予約受付。個人オーナー。
44,m.nail82（東大阪ネイルMana）,ネイルサロン,大阪府東大阪市（河内小阪）,@m.nail82,https://www.instagram.com/m.nail82/,1000〜3000,2025年以降,河内小阪。韓国ネイル・ガーリーネイル専門。個人オーナーMana。
45,picaro_nail（AI UTSUMI）,ネイルサロン,大阪府大東市（住道駅近）,@picaro_nail,https://www.instagram.com/picaro_nail/,500〜2000,確認中,住道駅徒歩10分。個性派・痛ネイル。個人オーナー。
46,北梅田美容鍼灸院,整体・美容鍼,大阪府大阪市北区豊崎（北梅田）,@toyosaki_beauty,https://www.instagram.com/toyosaki_beauty/,500〜2000,確認中,大阪市北区豊崎。美容鍼専門。産後ケア。国家資格4種。個人オーナー。
47,e-nail（福岡天神薬院ネイルサロン）,ネイルサロン,福岡県福岡市中央区薬院,@e_nail_fukuoka,https://www.instagram.com/e_nail_fukuoka/,500〜2000,確認中,薬院エリア。完全予約制プライベートサロン。
48,Lira nails（ライラネイル）,ネイルサロン,大阪府枚方市（大阪近郊）,@miyumiyu04,https://www.instagram.com/miyumiyu04/,1000〜5000,2024年以降,枚方市。個性派ネイル・3D・ニュアンス・手描き専門。個人オーナー。
49,Dr.ハリー（鈴木允）,整体・美容鍼,東京都新宿区（曙橋）,@dr.harry_shinjuku,https://www.instagram.com/dr.harry_shinjuku/,1000〜5000,2025年以降,曙橋。整体×美容鍼×幹細胞パック。小顔・リフトアップ専門個人院。
50,RETØUCH by fifth（直井文弥）,美容室,東京都渋谷区神宮前（原宿・表参道）,@naoi_fumiya,https://www.instagram.com/naoi_fumiya/,3000〜10000,2024年以降,ALLEY HARAJUKU 3F。オールバック・スパイラルパーマ専門スタイリスト。
